,violin,excerpt,phase,take,folder
71,Stoppani,Gamme,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Gamme/2
73,Stoppani,Gamme,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Gamme/3
74,Stoppani,Gamme,1,4,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Gamme/4
79,Stoppani,Note_longue,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Note_longue/1
78,Stoppani,Note_longue,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Note_longue/2
69,Stoppani,Corde_a_vide_beau_son,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Corde_a_vide_beau_son/3
66,Stoppani,Bach,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Bach/3
64,Stoppani,Glazounov,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Glazounov/3
63,Stoppani,Mozart,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Mozart/3
65,Stoppani,Sibelius,1,4,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Sibelius/4
67,Stoppani,Tchaikovsky,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Tchaikovsky/1
68,Stoppani,Gamme,1,5,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Gamme/5
70,Stoppani,Note_longue,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/Stoppani/Note_longue/3
49,SMD,Corde_a_vide_beau_son,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Corde_a_vide_beau_son/1
48,SMD,Corde_a_vide_beau_son,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Corde_a_vide_beau_son/2
32,SMD,Bach,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Bach/1
33,SMD,Bach,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Bach/2
28,SMD,Glazounov,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Glazounov/1
29,SMD,Glazounov,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Glazounov/2
27,SMD,Mozart,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Mozart/1
26,SMD,Mozart,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Mozart/2
30,SMD,Sibelius,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Sibelius/1
31,SMD,Sibelius,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Sibelius/2
35,SMD,Tchaikovsky,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Tchaikovsky/1
34,SMD,Tchaikovsky,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Tchaikovsky/2
46,SMD,Gamme,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Gamme/1
47,SMD,Gamme,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Gamme/2
51,SMD,Note_longue,1,1,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Note_longue/1
50,SMD,Note_longue,1,2,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Note_longue/2
44,SMD,Corde_a_vide_beau_son,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Corde_a_vide_beau_son/3
41,SMD,Bach,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Bach/3
37,SMD,Glazounov,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Glazounov/3
36,SMD,Mozart,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Mozart/3
38,SMD,Sibelius,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Sibelius/3
39,SMD,Sibelius,1,4,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Sibelius/4
40,SMD,Sibelius,1,5,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Sibelius/5
42,SMD,Tchaikovsky,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Tchaikovsky/3
43,SMD,Gamme,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Gamme/3
45,SMD,Note_longue,1,3,/home/hugo/Thèse/Data/CNSM/Mocap/Processed/Phase 1/SMD/Note_longue/3
